"Class","FriendlyName","InstanceId","Problem","ConfigManagerErrorCode","ProblemDescription","Caption","Description","InstallDate","Name","Status","Availability","ConfigManagerUserConfig","CreationClassName","DeviceID","ErrorCleared","ErrorDescription","LastErrorCode","PNPDeviceID","PowerManagementCapabilities","PowerManagementSupported","StatusInfo","SystemCreationClassName","SystemName","ClassGuid","CompatibleID","HardwareID","Manufacturer","PNPClass","Present","Service","PSComputerName"
"USBDevice","Camera DFU Device","USB\VID_3277&PID_0051&MI_04\7&204645B8&0&0004","CM_PROB_NONE","CM_PROB_NONE",,"Camera DFU Device","WinUsb Device",,"Camera DFU Device","OK",,"False","Win32_PnPEntity","USB\VID_3277&PID_0051&MI_04\7&204645B8&0&0004",,,,"USB\VID_3277&PID_0051&MI_04\7&204645B8&0&0004",,,,"Win32_ComputerSystem","ROG-LUCCI","{88bae032-5a81-49f0-bc3d-a4ff138216d6}","System.String[]","System.String[]","WinUsb Device","USBDevice","True","WINUSB",
"USB","USB Root Hub (USB 3.0)","USB\ROOT_HUB30\5&307E18D0&0&0","CM_PROB_NONE","CM_PROB_NONE",,"USB Root Hub (USB 3.0)","USB Root Hub (USB 3.0)",,"USB Root Hub (USB 3.0)","OK",,"False","Win32_PnPEntity","USB\ROOT_HUB30\5&307E18D0&0&0",,,,"USB\ROOT_HUB30\5&307E18D0&0&0",,,,"Win32_ComputerSystem","ROG-LUCCI","{36fc9e60-c465-11cf-8056-444553540000}",,"System.String[]","(Standard USB HUBs)","USB","True","USBHUB3",
"Mouse","HID-compliant mouse","HID\ASUP1208&COL01\4&FBB3F3F&0&0000","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant mouse","HID-compliant mouse",,"HID-compliant mouse","OK",,"False","Win32_PnPEntity","HID\ASUP1208&COL01\4&FBB3F3F&0&0000",,,,"HID\ASUP1208&COL01\4&FBB3F3F&0&0000",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e96f-e325-11ce-bfc1-08002be10318}",,"System.String[]","Microsoft","Mouse","True","mouhid",
"System","Motherboard resources","ACPI\PNP0C02\4&98C338A&0","CM_PROB_NONE","CM_PROB_NONE",,"Motherboard resources","Motherboard resources",,"Motherboard resources","OK",,"False","Win32_PnPEntity","ACPI\PNP0C02\4&98C338A&0",,,,"ACPI\PNP0C02\4&98C338A&0",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"System","High Definition Audio Controller","PCI\VEN_10DE&DEV_22BD&SUBSYS_1B131043&REV_A1\4&29511AB7&0&0109","CM_PROB_NONE","CM_PROB_NONE",,"High Definition Audio Controller","High Definition Audio Controller",,"High Definition Audio Controller","OK",,"False","Win32_PnPEntity","PCI\VEN_10DE&DEV_22BD&SUBSYS_1B131043&REV_A1\4&29511AB7&0&0109",,,,"PCI\VEN_10DE&DEV_22BD&SUBSYS_1B131043&REV_A1\4&29511AB7&0&0109",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Microsoft","System","True","HDAudBus",
"Volume","Volume","STORAGE\VOLUME\{6CE7DCAB-AE9D-11EE-B639-806E6F6E6963}#000000E796200000","CM_PROB_NONE","CM_PROB_NONE",,"Volume","Volume",,"Volume","OK",,"False","Win32_PnPEntity","STORAGE\VOLUME\{6CE7DCAB-AE9D-11EE-B639-806E6F6E6963}#000000E796200000",,,,"STORAGE\VOLUME\{6CE7DCAB-AE9D-11EE-B639-806E6F6E6963}#000000E796200000",,,,"Win32_ComputerSystem","ROG-LUCCI","{71a27cdd-812a-11d0-bec7-08002be2092f}",,"System.String[]","Microsoft","Volume","True","volume",
"Battery","Microsoft ACPI-Compliant Control Method Battery","ACPI\PNP0C0A\1","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft ACPI-Compliant Control Method Battery","Microsoft ACPI-Compliant Control Method Battery",,"Microsoft ACPI-Compliant Control Method Battery","OK",,"False","Win32_PnPEntity","ACPI\PNP0C0A\1",,,,"ACPI\PNP0C0A\1",,,,"Win32_ComputerSystem","ROG-LUCCI","{72631e54-78a4-11d0-bcf7-00aa00b7b32a}",,"System.String[]","Microsoft","Battery","True","CmBatt",
"System","ASUS System Control Interface v3","ACPI\ASUS2018\2&DABA3FF&0","CM_PROB_NONE","CM_PROB_NONE",,"ASUS System Control Interface v3","ASUS System Control Interface v3",,"ASUS System Control Interface v3","OK",,"False","Win32_PnPEntity","ACPI\ASUS2018\2&DABA3FF&0",,,,"ACPI\ASUS2018\2&DABA3FF&0",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","ASUS","System","True",,
"HIDClass","HID-compliant vendor-defined device","HID\VID_0B05&PID_19B6&COL02\7&2A3AB815&0&0001","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant vendor-defined device","HID-compliant vendor-defined device",,"HID-compliant vendor-defined device","OK",,"False","Win32_PnPEntity","HID\VID_0B05&PID_19B6&COL02\7&2A3AB815&0&0001",,,,"HID\VID_0B05&PID_19B6&COL02\7&2A3AB815&0&0001",,,,"Win32_ComputerSystem","ROG-LUCCI","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","(Standard system devices)","HIDClass","True",,
"USB","USB Root Hub (USB 3.0)","USB\ROOT_HUB30\5&11F640E9&0&0","CM_PROB_NONE","CM_PROB_NONE",,"USB Root Hub (USB 3.0)","USB Root Hub (USB 3.0)",,"USB Root Hub (USB 3.0)","OK",,"False","Win32_PnPEntity","USB\ROOT_HUB30\5&11F640E9&0&0",,,,"USB\ROOT_HUB30\5&11F640E9&0&0",,,,"Win32_ComputerSystem","ROG-LUCCI","{36fc9e60-c465-11cf-8056-444553540000}",,"System.String[]","(Standard USB HUBs)","USB","True","USBHUB3",
"System","ACPI Fan","ACPI\PNP0C0B\1","CM_PROB_NONE","CM_PROB_NONE",,"ACPI Fan","ACPI Fan",,"ACPI Fan","OK",,"False","Win32_PnPEntity","ACPI\PNP0C0B\1",,,,"ACPI\PNP0C0B\1",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"HIDClass","HID-compliant device","HID\VID_0B05&PID_19B6&COL07\7&2A3AB815&0&0006","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant device","HID-compliant device",,"HID-compliant device","OK",,"False","Win32_PnPEntity","HID\VID_0B05&PID_19B6&COL07\7&2A3AB815&0&0006",,,,"HID\VID_0B05&PID_19B6&COL07\7&2A3AB815&0&0006",,,,"Win32_ComputerSystem","ROG-LUCCI","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","(Standard system devices)","HIDClass","True",,
"PrintQueue","Root Print Queue","SWD\PRINTENUM\PRINTQUEUES","CM_PROB_NONE","CM_PROB_NONE",,"Root Print Queue","Local Print Queue",,"Root Print Queue","OK",,"False","Win32_PnPEntity","SWD\PRINTENUM\PRINTQUEUES",,,,"SWD\PRINTENUM\PRINTQUEUES",,,,"Win32_ComputerSystem","ROG-LUCCI","{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}","System.String[]","System.String[]","Microsoft","PrintQueue","True",,
"MEDIA","Cirrus Logic Awesome Speaker Amps","ACPI\CSC3556\1","CM_PROB_NONE","CM_PROB_NONE",,"Cirrus Logic Awesome Speaker Amps","Cirrus Logic Awesome Speaker Amps",,"Cirrus Logic Awesome Speaker Amps","OK",,"False","Win32_PnPEntity","ACPI\CSC3556\1",,,,"ACPI\CSC3556\1",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e96c-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Cirrus Logic, Inc.","MEDIA","True","csaudio",
"HIDClass","HID-compliant wireless radio controls","HID\VID_0B05&PID_19B6&COL0A\7&2A3AB815&0&0009","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant wireless radio controls","HID-compliant wireless radio controls",,"HID-compliant wireless radio controls","OK",,"False","Win32_PnPEntity","HID\VID_0B05&PID_19B6&COL0A\7&2A3AB815&0&0009",,,,"HID\VID_0B05&PID_19B6&COL0A\7&2A3AB815&0&0009",,,,"Win32_ComputerSystem","ROG-LUCCI","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","(Standard system devices)","HIDClass","True",,
"System","PCI standard host CPU bridge","PCI\VEN_1022&DEV_14F5&SUBSYS_00000000&REV_00\3&11583659&0&C5","CM_PROB_NONE","CM_PROB_NONE",,"PCI standard host CPU bridge","PCI standard host CPU bridge",,"PCI standard host CPU bridge","OK",,"False","Win32_PnPEntity","PCI\VEN_1022&DEV_14F5&SUBSYS_00000000&REV_00\3&11583659&0&C5",,,,"PCI\VEN_1022&DEV_14F5&SUBSYS_00000000&REV_00\3&11583659&0&C5",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","(Standard system devices)","System","True",,
"System","Volume Manager","ROOT\VOLMGR\0000","CM_PROB_NONE","CM_PROB_NONE",,"Volume Manager","Volume Manager",,"Volume Manager","OK",,"False","Win32_PnPEntity","ROOT\VOLMGR\0000",,,,"ROOT\VOLMGR\0000",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Microsoft","System","True","volmgr",
"System","High precision event timer","ACPI\PNP0103\2&DABA3FF&0","CM_PROB_NONE","CM_PROB_NONE",,"High precision event timer","High precision event timer",,"High precision event timer","OK",,"False","Win32_PnPEntity","ACPI\PNP0103\2&DABA3FF&0",,,,"ACPI\PNP0103\2&DABA3FF&0",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"SoftwareComponent","Realtek Audio Universal Service","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKSRV&6&2F162A73&0","CM_PROB_NONE","CM_PROB_NONE",,"Realtek Audio Universal Service","Realtek Audio Universal Service",,"Realtek Audio Universal Service","OK",,"False","Win32_PnPEntity","SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKSRV&6&2F162A73&0",,,,"SWD\DRIVERENUM\{C3A63EDD-2D27-4B66-B155-5E94B43D926A}#REALTEKSRV&6&2F162A73&0",,,,"Win32_ComputerSystem","ROG-LUCCI","{5c4c3332-344d-483c-8739-259e934c9cc8}","System.String[]","System.String[]","Realtek","SoftwareComponent","True",,
"System","System CMOS/real time clock","ACPI\PNP0B00\4&27C19A4E&0","CM_PROB_NONE","CM_PROB_NONE",,"System CMOS/real time clock","System CMOS/real time clock",,"System CMOS/real time clock","OK",,"False","Win32_PnPEntity","ACPI\PNP0B00\4&27C19A4E&0",,,,"ACPI\PNP0B00\4&27C19A4E&0",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"System","PCI standard host CPU bridge","PCI\VEN_1022&DEV_14E8&SUBSYS_14E81022&REV_00\3&11583659&0&00","CM_PROB_NONE","CM_PROB_NONE",,"PCI standard host CPU bridge","PCI standard host CPU bridge",,"PCI standard host CPU bridge","OK",,"False","Win32_PnPEntity","PCI\VEN_1022&DEV_14E8&SUBSYS_14E81022&REV_00\3&11583659&0&00",,,,"PCI\VEN_1022&DEV_14E8&SUBSYS_14E81022&REV_00\3&11583659&0&00",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","(Standard system devices)","System","True",,
"AudioEndpoint","Speakers (Realtek(R) Audio)","SWD\MMDEVAPI\{0.0.0.00000000}.{2A70C1E9-D79B-4A9B-8157-4C51F66F85DB}","CM_PROB_NONE","CM_PROB_NONE",,"Speakers (Realtek(R) Audio)","Audio Endpoint",,"Speakers (Realtek(R) Audio)","OK",,"False","Win32_PnPEntity","SWD\MMDEVAPI\{0.0.0.00000000}.{2A70C1E9-D79B-4A9B-8157-4C51F66F85DB}",,,,"SWD\MMDEVAPI\{0.0.0.00000000}.{2A70C1E9-D79B-4A9B-8157-4C51F66F85DB}",,,,"Win32_ComputerSystem","ROG-LUCCI","{c166523c-fe0c-4a94-a586-f1a80cfbbf3e}","System.String[]","System.String[]","Microsoft","AudioEndpoint","True",,
"Net","WAN Miniport (PPPOE)","SWD\MSRRAS\MS_PPPOEMINIPORT","CM_PROB_NONE","CM_PROB_NONE",,"WAN Miniport (PPPOE)","WAN Miniport (PPPOE)",,"WAN Miniport (PPPOE)","OK",,"False","Win32_PnPEntity","SWD\MSRRAS\MS_PPPOEMINIPORT",,,,"SWD\MSRRAS\MS_PPPOEMINIPORT",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e972-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Microsoft","Net","True","RasPppoe",
"System","PCI Express Root Port","PCI\VEN_1022&DEV_14EE&SUBSYS_1B131043&REV_00\3&11583659&0&11","CM_PROB_NONE","CM_PROB_NONE",,"PCI Express Root Port","PCI Express Root Port",,"PCI Express Root Port","OK",,"False","Win32_PnPEntity","PCI\VEN_1022&DEV_14EE&SUBSYS_1B131043&REV_00\3&11583659&0&11",,,,"PCI\VEN_1022&DEV_14EE&SUBSYS_1B131043&REV_00\3&11583659&0&11",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","(Standard system devices)","System","True","pci",
"System","PCI Express Root Port","PCI\VEN_1022&DEV_14EE&SUBSYS_1B131043&REV_00\3&11583659&0&12","CM_PROB_NONE","CM_PROB_NONE",,"PCI Express Root Port","PCI Express Root Port",,"PCI Express Root Port","OK",,"False","Win32_PnPEntity","PCI\VEN_1022&DEV_14EE&SUBSYS_1B131043&REV_00\3&11583659&0&12",,,,"PCI\VEN_1022&DEV_14EE&SUBSYS_1B131043&REV_00\3&11583659&0&12",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","(Standard system devices)","System","True","pci",
"System","PCI Express Root Port","PCI\VEN_1022&DEV_14EE&SUBSYS_1B131043&REV_00\3&11583659&0&14","CM_PROB_NONE","CM_PROB_NONE",,"PCI Express Root Port","PCI Express Root Port",,"PCI Express Root Port","OK",,"False","Win32_PnPEntity","PCI\VEN_1022&DEV_14EE&SUBSYS_1B131043&REV_00\3&11583659&0&14",,,,"PCI\VEN_1022&DEV_14EE&SUBSYS_1B131043&REV_00\3&11583659&0&14",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","(Standard system devices)","System","True","pci",
"System","Microsoft Hyper-V Virtual Machine Bus Provider","ROOT\VMBUS\0000","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft Hyper-V Virtual Machine Bus Provider","Microsoft Hyper-V Virtual Machine Bus Provider",,"Microsoft Hyper-V Virtual Machine Bus Provider","OK",,"False","Win32_PnPEntity","ROOT\VMBUS\0000",,,,"ROOT\VMBUS\0000",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","Microsoft","System","True","vmbusr",
"System","Programmable interrupt controller","ACPI\PNP0000\4&27C19A4E&0","CM_PROB_NONE","CM_PROB_NONE",,"Programmable interrupt controller","Programmable interrupt controller",,"Programmable interrupt controller","OK",,"False","Win32_PnPEntity","ACPI\PNP0000\4&27C19A4E&0",,,,"ACPI\PNP0000\4&27C19A4E&0",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"HIDClass","HID-compliant device","HID\HID_DEVICE_SYSTEM_VHF\5&3093493&0&0000","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant device","HID-compliant device",,"HID-compliant device","OK",,"False","Win32_PnPEntity","HID\HID_DEVICE_SYSTEM_VHF\5&3093493&0&0000",,,,"HID\HID_DEVICE_SYSTEM_VHF\5&3093493&0&0000",,,,"Win32_ComputerSystem","ROG-LUCCI","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","(Standard system devices)","HIDClass","True",,
"PrintQueue","OneNote (Desktop) - Protected","SWD\PRINTENUM\{BDCD457B-B5EB-4AFF-8557-2D3B09606A8D}","CM_PROB_NONE","CM_PROB_NONE",,"OneNote (Desktop) - Protected","Local Print Queue",,"OneNote (Desktop) - Protected","OK",,"False","Win32_PnPEntity","SWD\PRINTENUM\{BDCD457B-B5EB-4AFF-8557-2D3B09606A8D}",,,,"SWD\PRINTENUM\{BDCD457B-B5EB-4AFF-8557-2D3B09606A8D}",,,,"Win32_ComputerSystem","ROG-LUCCI","{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}","System.String[]","System.String[]","Microsoft","PrintQueue","True",,
"System","Microsoft Basic Display Driver","ROOT\BASICDISPLAY\0000","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft Basic Display Driver","Microsoft Basic Display Driver",,"Microsoft Basic Display Driver","OK",,"False","Win32_PnPEntity","ROOT\BASICDISPLAY\0000",,,,"ROOT\BASICDISPLAY\0000",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard display types)","System","True","BasicDisplay",
"System","ACPI Thermal Zone","ACPI\THERMALZONE\THRM","CM_PROB_NONE","CM_PROB_NONE",,"ACPI Thermal Zone","ACPI Thermal Zone",,"ACPI Thermal Zone","OK",,"False","Win32_PnPEntity","ACPI\THERMALZONE\THRM",,,,"ACPI\THERMALZONE\THRM",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"System","ACPI Sleep Button","ACPI\PNP0C0E\2&DABA3FF&0","CM_PROB_NONE","CM_PROB_NONE",,"ACPI Sleep Button","ACPI Sleep Button",,"ACPI Sleep Button","OK",,"False","Win32_PnPEntity","ACPI\PNP0C0E\2&DABA3FF&0",,,,"ACPI\PNP0C0E\2&DABA3FF&0",,,,"Win32_ComputerSystem","ROG-LUCCI","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
,"LIGHTSPEED Receiver","USB\VID_046D&PID_C53F&LAMPARRAY\7&D37D2AE&0&1_SLOT00","CM_PROB_NONE","CM_PROB_NONE",,"LIGHTSPEED Receiver","LIGHTSPEED Receiver",,"LIGHTSPEED Receiver","OK",,"False","Win32_PnPEntity","USB\VID_046D&PID_C53F&LAMPARRAY\7&D37D2AE&0&1_SLOT00",,,,"USB\VID_046D&PID_C53F&LAMPARRAY\7&D37D2AE&0&1_SLOT00",,,,"Win32_ComputerSystem","ROG-LUCCI",,,,,,"True",,
,"LIGHTSPEED Receiver","USB\VID_046D&PID_C53F&LAMPARRAY\7&D37D2AE&0&1_SLOT01","CM_PROB_NONE","CM_PROB_NONE",,"LIGHTSPEED Receiver","LIGHTSPEED Receiver",,"LIGHTSPEED Receiver","OK",,"False","Win32_PnPEntity","USB\VID_046D&PID_C53F&LAMPARRAY\7&D37D2AE&0&1_SLOT01",,,,"USB\VID_046D&PID_C53F&LAMPARRAY\7&D37D2AE&0&1_SLOT01",,,,"Win32_ComputerSystem","ROG-LUCCI",,,,,,"True",,
,"LIGHTSPEED Receiver","USB\VID_046D&PID_C53F&LAMPARRAY\7&D37D2AE&0&1_SLOT02","CM_PROB_NONE","CM_PROB_NONE",,"LIGHTSPEED Receiver","LIGHTSPEED Receiver",,"LIGHTSPEED Receiver","OK",,"False","Win32_PnPEntity","USB\VID_046D&PID_C53F&LAMPARRAY\7&D37D2AE&0&1_SLOT02",,,,"USB\VID_046D&PID_C53F&LAMPARRAY\7&D37D2AE&0&1_SLOT02",,,,"Win32_ComputerSystem","ROG-LUCCI",,,,,,"True",,
