name,website,emails scraped from website,map link,address,phone,google rank,number of reviews,search keywords
Federal Defenders-Middle District,http://www.gamd.uscourts.gov/cja-panel-attorney-information,,https://www.google.com/maps/place/?q=place_id:ChIJ8XYvR3r-84gR2LqSdc_fSL4,"440 Martin Luther King Jr Blvd, Macon, GA 31201",(478) 743-4747,2,2,"Wage dispute attorneys Macon, Georgia"
American Legion,https://www.legion.org/,ia@legion.org,https://www.google.com/maps/place/?q=place_id:ChIJ3ZdRhqG49ogRIYxgic1NF_k,"231 Log Cabin Rd NE, Milledgeville, GA 31061",(478) 453-0108,2,10,"Unpaid overtime attorneys Macon, Georgia"
"Greg Dobson, PC Attorney at Law",https://lddlawyers.com/,", mjlober@lddlawyers.com, wgd@lddlawyers.com",https://www.google.com/maps/place/?q=place_id:ChIJ5c1eImP-84gROLND6R69P9A,"830 Mulberry St #201, Macon, GA 31201",(478) 745-7700,16,4,"Unpaid overtime attorneys Macon, Georgia"
NAACP,http://www.naacp.org/,"actso@naacpnet.org, development@naacpnet.org, hollywoodbureau@naacpnet.org, info@naacp.org, washingtonbureau@naacpnet.org, webmaster@naacpnet.org",https://www.google.com/maps/place/?q=place_id:ChIJxbktfn3-84gRHWhYMgma8uQ,"820 High St, Macon, GA 31201",(478) 745-9944,3,,"Wage dispute attorneys Macon, Georgia"
Moeller Barbaree LLP,https://www.moellerbarbaree.com/,tbarbaree@moellerbarbaree.com,https://www.google.com/maps/place/?q=place_id:ChIJAQDAbUME9YgRSD7GG89Wlas,"1175 Peachtree St NE Suite 1850, Atlanta, GA 30361",(404) 748-9122,10,8,"Unpaid Overtime Lawyers Macon, Georgia"
"Montlick & Associates, Attorneys at Law",https://www.montlick.com/,,https://www.google.com/maps/place/?q=place_id:ChIJSxZ-rhYG9YgRwuq7uw3u_Ys,"17 Executive Park Dr NE #300, Atlanta, GA 30329",(800) 529-6333,17,755,"Unpaid overtime attorneys Macon, Georgia"
Fitzgerald Keith E,https://www.hogueandhogue.com/,,https://www.google.com/maps/place/?q=place_id:ChIJ2YvBGHv-84gRpO08LtqWdN4,"341 3rd St, Macon, GA 31201",(478) 750-8040,1,7,"Unpaid overtime attorneys Macon, Georgia"
"George Sink, P.A. Injury Lawyers",https://www.sinklaw.com/sumter-personal-injury-lawyer/,,https://www.google.com/maps/place/?q=place_id:ChIJrUgDaVpv_4gRWtWDEcBdYbo,"112 Broad St, Sumter, SC 29150",(803) 402-3164,1,69,"Wage dispute attorneys Macon, Georgia"
BB&T,https://www.bbt.com/bbtdotcom/locator/details/201_2nd_st__macon__ga__31201?ReferralSource=GV&CampIDMaj=AKH&CampIDMin=AR&cmpid=3980,"CEOLine@BBandT.com, InternetFraud@BBandT.com, corporatetrustinquiries@bbandt.com",https://www.google.com/maps/place/?q=place_id:ChIJBSlV22T-84gRIO0dYWUm0ZI,"201 2nd St, Macon, GA 31201",(478) 722-7341,5,4,"Unpaid overtime attorneys Macon, Georgia"
Morgan & Morgan,https://www.forthepeople.com/macon/,contact@forthepeople.com,https://www.google.com/maps/place/?q=place_id:ChIJvzbzEBz584gRa_8ozW3s3OQ,"230 Northside Crossing Suite 9, Macon, GA 31210",(478) 583-6300,7,10,"Unpaid overtime attorneys Macon, Georgia"
"Ben Crump Law, PLLC",https://bencrump.com/tallahassee-personal-injury-lawyer/,,https://www.google.com/maps/place/?q=place_id:ChIJAQAAAINf7IgRiVpNGjg0W4w,"122 S Calhoun St, Tallahassee, FL 32301",(800) 715-5999,11,18,"Wage dispute attorneys Macon, Georgia"
Thompson Jeffery L,https://www.constangy.com/,"rbrown@constangy.com, teden@constangy.com",https://www.google.com/maps/place/?q=place_id:ChIJ3yhc02T-84gRM-pmFHLxxWI,"577 Mulberry St # 710, Macon, GA 31201",(478) 750-8600,4,,"Unpaid Overtime Lawyers Macon, Georgia"
Alfa Insurance - Hall Harden Agency,https://www.alfainsurance.com/hallharden,,https://www.google.com/maps/place/?q=place_id:ChIJBaIF9fX584gRnqhBVkRzWy4,"2257 Heath Rd Ste A1, Macon, GA 31206",(478) 477-8977,9,6,"Wage dispute attorneys Macon, Georgia"
Wellstar Spalding Regional Hospital,https://www.wellstar.org/locations/pages/wellstar-spalding-regional-hospital.aspx,ethics.program@wellstar.org,https://www.google.com/maps/place/?q=place_id:ChIJyexMgeBh9IgRxUd1HX227ns,"601 S 8th St, Griffin, GA 30224",(770) 228-2721,7,205,"Wage dispute attorneys Macon, Georgia"
