name,website,map link,address,phone,created at,latitude,longitude,google rank,number of reviews,search keywords,contact page link
Perenich The Law Firm,https://perenichlaw.com/personal-injury-attorneys-clearwater-fl/,https://www.google.com/maps/place/?q=place_id:ChIJ9QFkdATuwogR3MeqzPcqKJs,"25749 US Hwy 19 N Suite 200, Clearwater, FL 33763",(727) 500-1499,2020-09-01T15:47:00.091854,28.0059936,-82.7289505,15,63,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Melkonian Law Office,http://www.thecrashlawyer.com/index.php,https://www.google.com/maps/place/?q=place_id:ChIJGwdp_HzDwogRn8OTGH7enIM,"117 S Albany Ave, Tampa, FL 33606",(813) 941-4790,2020-09-01T15:48:36.702444,27.9434946,-82.4811666,3,,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Distasio Law Firm,https://distasiofirm.com/tampa-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gmbtampa,https://www.google.com/maps/place/?q=place_id:ChIJ6Zp8O3nDwogRg8Hf99S7Wbg,"1112 Channelside Dr #5, Tampa, FL 33602",(813) 412-8277,2020-09-01T15:48:36.690844,27.9507617,-82.4458202,13,37,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Papa & Gipe, P.A.",http://www.papaandgipe.com/,https://www.google.com/maps/place/?q=place_id:ChIJbaLHR07wwogRfShdSVI716Y,"1724 Gulf to Bay Blvd, Clearwater, FL 33755",(727) 461-4357,2020-09-01T15:48:36.706275,27.961005,-82.7656,2,20,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Carlson Meissner Hart & Hayslett, P.A.",https://carlsonmeissner.com/clearwater/,https://www.google.com/maps/place/?q=place_id:ChIJjxUx1gyNwogRpb4hKte0zJo,"250 N Belcher Rd. STE 102, Clearwater, FL 33765",(727) 234-8119,2020-09-01T15:47:00.094665,27.969767,-82.7470618,17,236,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Vanguard Attorneys,http://www.vanguardattorneys.com/,https://www.google.com/maps/place/?q=place_id:ChIJs6K7x1vEwogRqVqrDi7hKxg,"1220 E 5th Ave, Tampa, FL 33605",(813) 737-7361,2020-09-01T15:48:36.693489,27.9590198,-82.4462621,14,10,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Law Office of W.F. ''Casey'' Ebsary Jr,https://www.centrallaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJV8JZy_fEwogR0YPGZA5cWio,"2102 W Cleveland St, Tampa, FL 33606",(813) 222-2220,2020-09-01T15:48:36.703156,27.9431541,-82.4811694,14,24,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Christopher N. Ligori, Esq.",http://www.ligorilaw.com/our-firm/attorneys/christopher-ligori,https://www.google.com/maps/place/?q=place_id:ChIJHTpT4YLEwogRDrlVfiFty6A,"117 S Willow Ave, Tampa, FL 33606",(813) 223-2929,2020-09-01T15:48:36.691995,27.943411,-82.4729037,11,,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Galewski Stanley J,http://www.galewski.com/,https://www.google.com/maps/place/?q=place_id:ChIJp8j78IvEwogRRYQ6zmo0SQ8,"412 E Madison St #1106, Tampa, FL 33602",(813) 222-8210,2020-09-01T15:48:36.705824,27.9489947,-82.4570414,15,9,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Richard A. Bokor, P.A.",https://bokorlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJyafIh7_EwogRxNDztoRa7pI,"230 E Davis Blvd, Tampa, FL 33606",(813) 251-1000,2020-09-01T15:48:36.694288,27.9266839,-82.4537346,6,4,"Tampa Personal Injury attorneys Tampa, Florida, United States",
The Florida Law Group,https://www.thefloridalawgroup.com/brandon/,https://www.google.com/maps/place/?q=place_id:ChIJLZ4l-nfOwogRcjju8nCOMIY,"1111 Oakfield Dr, Brandon, FL 33511",(813) 694-3601,2020-09-01T15:48:36.697077,27.9336394,-82.2998643,6,9,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Franco Law Firm,http://www.francofirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJn3NbS_LDwogRAjrf1RysE50,"800 W Dr Martin Luther King Jr Blvd #1, Tampa, FL 33603",(813) 872-0929,2020-09-01T15:47:00.085312,27.981258,-82.4698426,2,21,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Slater | Grant,https://www.slatergrant.com/,https://www.google.com/maps/place/?q=place_id:ChIJR3OV3KSwwogRlrJ88m1VxX4,"14502 N Dale Mabry Hwy #104, Tampa, FL 33618",(813) 995-6444,2020-09-01T15:48:36.697178,28.0803693,-82.5082266,7,33,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Franchi Injury Law,https://franchilaw.com/riverview-florida/,https://www.google.com/maps/place/?q=place_id:ChIJ0w-lykTXwogR0vwN-iCXmJI,"13134 Vail Ridge Dr Suite 4, Riverview, FL 33579",(813) 800-4529,2020-09-01T15:48:36.705504,27.794785,-82.329929,10,17,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Holliday Karatinos Law Firm, PLLC",https://www.helpinginjuredpeople.com/lutz/?utm_source=local&utm_medium=organic&utm_campaign=gmb,https://www.google.com/maps/place/?q=place_id:ChIJg-wbt9y-wogRpVkfPg37Io0,"18920 N Dale Mabry Hwy #101, Lutz, FL 33548",(813) 605-1417,2020-09-01T15:48:36.702834,28.15163,-82.492645,9,41,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Daniel J. Fernandez, Esq.",https://criminaldefenselawyertampa.com/,https://www.google.com/maps/place/?q=place_id:ChIJ5S8C0pLEwogR-ZIWdv_irF0,"3002 W Kennedy Blvd, Tampa, FL 33609",(813) 229-5353,2020-09-01T15:48:36.695454,27.9445275,-82.4914286,4,310,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Burnetti, P.A.",https://www.burnetti.com/tampa/,https://www.google.com/maps/place/?q=place_id:ChIJd3s_2OzEwogRoc-8FV8FOWY,1000 N Ashley Dr #800 · In Tampa Bay Times,(813) 603-2114,2020-09-01T15:48:36.690587,27.9520938,-82.4622865,9,40,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Jodat Law Group P.A.,https://jodatlawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJM-JmwwLDwogRiJbMFxU-amY,"8270 Woodland Center Blvd #106, Tampa, FL 33614",(813) 225-7200,2020-09-01T15:48:36.696028,28.0249903,-82.5247198,13,4,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Christopher Ligori & Associates,http://www.ligorilaw.com/riverview-fl,https://www.google.com/maps/place/?q=place_id:ChIJ81WV1NDRwogRfjeznwqTBwc,"10101 Bloomingdale Ave #204, Riverview, FL 33578",(813) 280-4722,2020-09-01T15:48:36.703092,27.8932613,-82.3367952,13,4,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Fernandez Law Group,https://thefernandezlawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJ0RuO73nDwogR4T8gIqgZo1E,"506 N Armenia Ave, Tampa, FL 33609",(813) 489-3222,2020-09-01T15:48:36.692760,27.948972,-82.485388,3,72,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Dennis Hernandez & Associates, PA",https://www.dennishernandez.com/auto-accident-attorney-tampa/,https://www.google.com/maps/place/?q=place_id:ChIJ-yCxDg3DwogREGmPaQDCgVU,"3339 W Kennedy Blvd, Tampa, FL 33609",(813) 250-0000,2020-09-01T15:48:36.690909,27.945048,-82.499198,14,213,"Tampa Personal Injury attorneys Tampa, Florida, United States",
The Florida Law Group,http://www.thefloridalawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJt86Cz5DHwogRA5ILxcRY7TE,"407 N Howard Ave, Tampa, FL 33606",(813) 463-8880,2020-09-01T15:48:36.692896,27.9482027,-82.4828314,5,142,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Wagner McLaughlin,http://www.wagnerlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJXYWLMovEwogRwqMmabbhtHI,601 Bayshore Blvd Suite 910 · In The Bank of Tampa,(813) 225-4000,2020-09-01T15:48:36.691611,27.93774,-82.4652379,5,12,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Yonker Marc,http://www.wintersandyonker.com/CM/Custom/Bio/MarcYonker.html,https://www.google.com/maps/place/?q=place_id:ChIJITCbT5rEwogRoH7F8dtgJs8,"601 W Swann Ave # A, Tampa, FL 33606",(888) 373-7770,2020-09-01T15:48:36.706982,27.9374282,-82.4662076,13,1,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Morgan & Morgan,https://www.forthepeople.com/west-tampa/,https://www.google.com/maps/place/?q=place_id:ChIJK4ZVoL7DwogR7u5YTQ4Iqso,"3705 N Himes Ave, Tampa, FL 33607",(813) 229-4030,2020-09-01T15:48:36.690129,27.9724444,-82.5011619,2,178,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Terence Perenich,https://perenichlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJOzjncwTuwogRmbBknD4X6pI,"25749 US Hwy 19 N #200, Clearwater, FL 33763",(727) 500-2166,2020-09-01T15:47:00.091522,28.0060055,-82.7289035,10,,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Medina Law Firm,http://www.medinalawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJud2K7JrEwogRTqRdlbBUgiU,"305 S Magnolia Ave, Tampa, FL 33606",(813) 258-5838,2020-09-01T15:48:36.694942,27.9412457,-82.4659792,16,19,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Dan Newlin Injury Attorneys,https://www.newlinlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJkanyvojDwogRH4dFaGHOm4A,1408 N Westshore Blvd Suite 400 · In Towers At Westshore,(813) 888-8000,2020-09-01T15:48:36.690062,27.9553378,-82.5255601,1,64,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Melkonian & Associates,http://www.thecrashlawyer.com/,https://www.google.com/maps/place/?q=place_id:ChIJ2dt2XXvDwogRVm-fBX_MUPM,"117 S Albany Ave, Tampa, FL 33606",(813) 250-0115,2020-09-01T15:48:36.693707,27.9434946,-82.4811666,17,40,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Viñas & DeLuca Tampa Personal Injury Lawers,https://www.vdlegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJAQhA-X7DwogRdsCfH1Q3rK0,"506 N Armenia Ave, Tampa, FL 33609",(813) 489-3222,2020-09-01T15:48:36.691100,27.9489859,-82.4853016,17,,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Ogletree Deakins,https://www.ogletree.com/,https://www.google.com/maps/place/?q=place_id:ChIJjWhLEYzEwogR9_F6J6NRnF8,"100 N Tampa St Suite 3600, Tampa, FL 33602",(813) 289-1247,2020-09-01T15:47:00.094534,27.9454977,-82.4582748,15,3,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Injury Florida Law Firm,https://injuryfloridalawfirm.com/?utm_campaign=gmb,https://www.google.com/maps/place/?q=place_id:ChIJMQlxXhDDwogRz90yXkJMDWk,"3310 S West Shore Blvd, Tampa, FL 33629",(813) 491-8264,2020-09-01T15:47:00.092059,27.9150911,-82.5263313,18,7,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Rubenstein Law,https://rubensteinlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJi84beYvEwogRO8Hh70PxbT0,"SunTrust Financial Centre, 401, E Jackson St #1410, Tampa, FL 33602",(813) 605-7270,2020-09-01T15:48:36.690391,27.946761,-82.456278,6,148,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Ligori & Ligori, Attorneys at Law: Keith Ligori",https://www.callmeonmycell.com/,https://www.google.com/maps/place/?q=place_id:ChIJvxrfx3vDwogRIo3fQP6OWhI,"1711 W Kennedy Blvd 3rd floor, Tampa, FL 33606",(813) 254-7119,2020-09-01T15:48:36.693154,27.9449555,-82.4775913,9,96,"Tampa Personal Injury attorneys Tampa, Florida, United States",
The Fran Haasch Law Group,https://www.lawfran.com/locations/palm-harbor-personal-injury-attorney/?utm_source=GMB&utm_medium=organic&utm_campaign=PalmHarbor,https://www.google.com/maps/place/?q=place_id:ChIJVYa21e7ywogRYOtzxYwHf_Y,"1275 Nebraska Ave, Palm Harbor, FL 34683",(727) 784-8191,2020-09-01T15:48:36.704051,28.079312,-82.764389,8,350,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Franchi Injury Law,https://franchilaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJD9J4qlvEwogRbbUGpOA-qQM,"217 N Howard Ave STE 104, Tampa, FL 33606",(813) 800-4529,2020-09-01T15:48:36.695198,27.946764,-82.482693,20,67,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Denmon Pearlman - Tampa,https://denmonpearlman.com/,https://www.google.com/maps/place/?q=place_id:ChIJu8nmfITEwogRDVR7h2Uk5xs,"2504 W Crest Ave, Tampa, FL 33614",(813) 554-3232,2020-09-01T15:48:36.692632,27.9935972,-82.4849326,1,130,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Pipas Law Group St. Petersburg,https://pipaslaw.com/st-petersburg-fl-personal-injury-lawyers/,https://www.google.com/maps/place/?q=place_id:ChIJtciVT4PhwogRnN9SANc0uKo,"360 Central Ave #1570, St. Petersburg, FL 33701",(727) 888-3925,2020-09-01T15:48:36.702315,27.7706693,-82.6377652,1,38,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Roman & Roman,https://www.romanromanlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJSy6GZgPywogRBzXfnKm0G94,"2274 FL-580, Clearwater, FL 33763",(727) 736-2515,2020-09-01T15:48:36.704437,28.019703,-82.743857,14,59,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Bernstein Law,https://www.lawbernstein.com/,https://www.google.com/maps/place/?q=place_id:ChIJkyrDb-XjwogR0Gkk4jyQweI,"1430 20th Ave N, St. Petersburg, FL 33704",(727) 209-7957,2020-09-01T15:48:36.704502,27.7900318,-82.6535135,15,47,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Baird Law Group,http://bairdlawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJG88ibIvEwogRuoZmLjnegp4,"214 S Armenia Ave, Tampa, FL 33609",(813) 849-2679,2020-09-01T15:48:36.692696,27.9423405,-82.4848151,2,15,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Parks & Braxton, PA",https://www.tampaduidefenders.com/,https://www.google.com/maps/place/?q=place_id:ChIJp8j78IvEwogRM3FYjo7Hl5g,"602 S Boulevard, Tampa, FL 33606",(813) 708-5388,2020-09-01T15:48:36.707173,27.938674,-82.468312,16,113,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Winer Law Group,http://www.mikewinerlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJT0Kfm_bEwogRtEk0aODwaHg,"110 N 11th St 1st floor, Tampa, FL 33602",(813) 224-0000,2020-09-01T15:48:36.694621,27.9481207,-82.4478981,11,19,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Germain Law Group,http://www.germainlawgroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJI59RgDfDwogRXG5fygBnlkI,"3412 W Bay to Bay Blvd Suite K, Tampa, FL 33629",(813) 835-8888,2020-09-01T15:48:36.702509,27.9195228,-82.4994656,4,5,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Teresa P. Williams, P.A.",https://www.teresawilliamspa.com/?utm_source=GMB&utm_medium=Website%20Click&utm_campaign=Main%20Button,https://www.google.com/maps/place/?q=place_id:ChIJe_YBFsPxwogRA-dXRidux5g,"1822 N Belcher Rd. STE 201, Clearwater, FL 33765",(727) 485-9788,2020-09-01T15:48:36.703795,27.9873863,-82.7468301,4,21,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Franco Law Group,http://www.franco-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJn_aqt3vDwogRfH93HnMGSS4,"215 N Howard Ave #101, Tampa, FL 33606",(813) 873-0180,2020-09-01T15:48:36.701567,27.9462577,-82.4828436,10,33,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"The Law Offices of Michael R. Herron, P.A.",https://www.accidenttampa.com/,https://www.google.com/maps/place/?q=place_id:ChIJ1VENmcrAwogRXTJWVuRgjlo,"1213 W Fletcher Ave, Tampa, FL 33612",(813) 258-4878,2020-09-01T15:48:36.696284,28.06913,-82.471083,17,62,"Tampa Personal Injury attorneys Tampa, Florida, United States",
"Michael J. Rossi, PA",http://www.thetampainjurylawyer.com/,https://www.google.com/maps/place/?q=place_id:ChIJb8TLYHvDwogRyZ03dI4CAOI,"115 S Albany Ave, Tampa, FL 33606",(813) 253-3351,2020-09-01T15:48:36.694749,27.9436249,-82.4811098,13,16,"Tampa Personal Injury attorneys Tampa, Florida, United States",
Brooks Law Group,https://www.brookslawgroup.com/winter-haven/?utm_source=google&utm_medium=gmb&utm_campaign=local-listing_winterhaven,https://www.google.com/maps/place/?q=place_id:ChIJ-Yd3-OYS3YgRQ61cwWKwdXc,"123 1st St N, Winter Haven, FL 33881",(863) 251-9407,2020-09-01T15:48:36.706340,28.0236879,-81.7271254,3,442,"Tampa Personal Injury attorneys Tampa, Florida, United States",
